HOG	OG	Gene Tree Parent Clade	protein	protein_2	protein_3
N0.HOG0000898	OG0000849	-	WP_014622751.1	WP_043038906.1	WP_012515463.1
N0.HOG0000899	OG0000850	-	WP_014622752.1	WP_206159023.1	WP_021320666.1
N0.HOG0000900	OG0000851	-	WP_014622753.1	WP_037578608.1	WP_012515465.1
N0.HOG0000901	OG0000852	-	WP_014622754.1	WP_206159076.1	WP_154804397.1
N0.HOG0000902	OG0000853	-	WP_014622756.1	WP_206159024.1	WP_043983631.1
N0.HOG0000903	OG0000854	-	WP_014622757.1	WP_165622540.1	WP_154803919.1
N0.HOG0000904	OG0000855	-	WP_014622758.1	WP_206159025.1	WP_012679424.1
N0.HOG0000905	OG0000856	-	WP_014622759.1	WP_206159027.1	WP_042670534.1
N0.HOG0000906	OG0000857	-	WP_014622760.1	WP_206159028.1	WP_154803918.1
N0.HOG0000907	OG0000858	-	WP_014622761.1	WP_012515476.1	WP_012679428.1
N0.HOG0000908	OG0000859	-	WP_014622762.1	WP_014622762.1	WP_012515477.1
N0.HOG0000909	OG0000860	-	WP_014622764.1	WP_206159030.1	WP_154803916.1
N0.HOG0000910	OG0000861	-	WP_014622765.1	WP_206159031.1	WP_154803915.1
N0.HOG0000911	OG0000862	-	WP_014622768.1	WP_206159032.1	WP_012678064.1
N0.HOG0000912	OG0000863	-	WP_014622769.1	WP_012515488.1	WP_012515488.1
N0.HOG0000913	OG0000864	-	WP_014622771.1	WP_206159034.1	WP_154803911.1
N0.HOG0000914	OG0000865	-	WP_014622772.1	WP_021320679.1	WP_154803910.1
N0.HOG0000915	OG0000866	-	WP_014622773.1	WP_206159035.1	WP_012679442.1
N0.HOG0000916	OG0000867	-	WP_014622774.1	WP_164335179.1	WP_154803909.1
N0.HOG0000917	OG0000868	-	WP_014622775.1	WP_012678055.1	WP_012515497.1
N0.HOG0000918	OG0000869	-	WP_014622776.1	WP_206159036.1	WP_111721670.1
N0.HOG0000919	OG0000870	-	WP_014622777.1	WP_206159038.1	WP_154803908.1
N0.HOG0000920	OG0000871	-	WP_014622789.1	WP_043036868.1	WP_043053034.1
N0.HOG0000921	OG0000872	-	WP_014622790.1	WP_206159055.1	WP_042670570.1
N0.HOG0000922	OG0000873	-	WP_014622793.1	WP_206159058.1	WP_154803880.1
N0.HOG0000923	OG0000874	-	WP_014622795.1	WP_206159059.1	WP_012515522.1
N0.HOG0000924	OG0000875	-	WP_014622796.1	WP_014622796.1	WP_043025758.1
N0.HOG0000925	OG0000876	-	WP_014622797.1	WP_012678035.1	WP_012678035.1
N0.HOG0000926	OG0000877	-	WP_014622798.1	WP_012515526.1	WP_154803879.1
N0.HOG0000927	OG0000878	-	WP_014622799.1	WP_206159060.1	WP_043053039.1
N0.HOG0000928	OG0000879	-	WP_014622800.1	WP_206159061.1	WP_154803877.1
N0.HOG0000929	OG0000880	-	WP_014622801.1	WP_111678049.1	WP_154803876.1
N0.HOG0000930	OG0000881	-	WP_014622803.1	WP_206159063.1	WP_154803874.1
N0.HOG0000931	OG0000882	-	WP_014622804.1	WP_206159064.1	WP_154803873.1
N0.HOG0000932	OG0000883	-	WP_014622805.1	WP_206159065.1	WP_154803872.1
N0.HOG0000933	OG0000884	-	WP_014622806.1	WP_206159066.1	WP_043983579.1
N0.HOG0000934	OG0000885	-	WP_014622808.1	WP_111692426.1	WP_012678022.1
N0.HOG0000935	OG0000886	-	WP_014622811.1	WP_206158612.1	WP_154803870.1
N0.HOG0000936	OG0000887	-	WP_014622812.1	WP_111678059.1	WP_154803869.1
N0.HOG0000937	OG0000888	-	WP_014622823.1	WP_111710551.1	WP_154803865.1
N0.HOG0000938	OG0000889	-	WP_014622824.1	WP_038674319.1	WP_012515561.1
N0.HOG0000939	OG0000890	-	WP_014622825.1	WP_014622825.1	WP_012515562.1
N0.HOG0000940	OG0000891	-	WP_014622827.1	WP_014622827.1	WP_012515567.1
N0.HOG0000941	OG0000892	-	WP_014622830.1	WP_206158615.1	WP_012677998.1
N0.HOG0000942	OG0000893	-	WP_014622831.1	WP_282185038.1	WP_042670602.1
N0.HOG0000943	OG0000894	-	WP_014622832.1	WP_206158616.1	WP_154803863.1
N0.HOG0000944	OG0000895	-	WP_014622835.1	WP_043030778.1	WP_111721680.1
N0.HOG0000945	OG0000896	-	WP_014622836.1	WP_012515578.1	WP_012515578.1
N0.HOG0000946	OG0000897	-	WP_014622838.1	WP_206158620.1	WP_154803861.1
N0.HOG0000947	OG0000898	-	WP_014622840.1	WP_249093412.1	WP_043030782.1
N0.HOG0000948	OG0000899	-	WP_014622841.1	WP_043983552.1	WP_012515587.1
N0.HOG0000949	OG0000900	-	WP_014622842.1	WP_206158623.1	WP_154803856.1
N0.HOG0000950	OG0000901	-	WP_014622846.1	WP_206158626.1	WP_012677976.1
N0.HOG0000951	OG0000902	-	WP_014622851.1	WP_206158628.1	WP_043025821.1
N0.HOG0000952	OG0000903	-	WP_014622852.1	WP_206158629.1	WP_043029707.1
N0.HOG0000953	OG0000904	-	WP_014622854.1	WP_206158631.1	WP_154803847.1
N0.HOG0000954	OG0000905	-	WP_014622855.1	WP_164336867.1	WP_042670638.1
N0.HOG0000955	OG0000906	-	WP_014622856.1	WP_206158634.1	WP_111690113.1
N0.HOG0000956	OG0000907	-	WP_014622859.1	WP_206158635.1	WP_154803846.1
N0.HOG0000957	OG0000908	-	WP_014622860.1	WP_206159084.1	WP_154804391.1
N0.HOG0000958	OG0000909	-	WP_014622861.1	WP_206158636.1	WP_154803845.1
N0.HOG0000959	OG0000910	-	WP_014622862.1	WP_021320776.1	WP_012677956.1
N0.HOG0000960	OG0000911	-	WP_014622864.1	WP_021320779.1	WP_012515626.1
N0.HOG0000961	OG0000912	-	WP_014622866.1	WP_206158637.1	WP_012677953.1
N0.HOG0000962	OG0000913	-	WP_228269592.1, WP_228269593.1, WP_014622875.1		
N0.HOG0000963	OG0000914	-	WP_014622887.1	WP_012515636.1	WP_154803842.1
N0.HOG0000964	OG0000915	-	WP_014622889.1	WP_037581153.1	WP_154803840.1
N0.HOG0000965	OG0000916	-	WP_014622892.1	WP_206158643.1	WP_014622892.1
N0.HOG0000966	OG0000917	-	WP_014622893.1	WP_111678147.1	WP_154803838.1
N0.HOG0000967	OG0000918	-	WP_014622895.1	WP_196819608.1	WP_012515647.1
N0.HOG0000968	OG0000919	-	WP_014622896.1	WP_206158645.1	WP_154803837.1
N0.HOG0000969	OG0000920	-	WP_014622897.1	WP_206158646.1	WP_021320793.1
N0.HOG0000970	OG0000921	-	WP_014622898.1	WP_206158647.1	WP_012515650.1
N0.HOG0000971	OG0000922	-	WP_014622899.1	WP_206158648.1	WP_012515651.1
N0.HOG0000972	OG0000923	-	WP_014622900.1	WP_014622900.1	WP_012515652.1
N0.HOG0000973	OG0000924	-	WP_014622907.1	WP_206158652.1	WP_154803834.1
N0.HOG0000974	OG0000925	-	WP_014622909.1	WP_012677915.1	WP_012677915.1
N0.HOG0000975	OG0000926	-	WP_014622910.1	WP_206152518.1	WP_021320797.1
N0.HOG0000976	OG0000927	-	WP_014622912.1	WP_012677913.1	WP_014622912.1
N0.HOG0000977	OG0000928	-	WP_014622914.1	WP_206158654.1	WP_154803833.1
N0.HOG0000978	OG0000929	-	WP_014622916.1	WP_115250978.1	WP_043030825.1
N0.HOG0000979	OG0000930	-	WP_014622917.1	WP_012677907.1	WP_154803832.1
N0.HOG0000980	OG0000931	-	WP_014622919.1	WP_206158656.1	WP_154803831.1
N0.HOG0000981	OG0000932	-	WP_014622920.1	WP_012515676.1	WP_012677905.1
N0.HOG0000982	OG0000933	-	WP_014622922.1	WP_206158659.1	WP_012515679.1
N0.HOG0000983	OG0000934	-	WP_014622923.1	WP_043053123.1	WP_043053123.1
N0.HOG0000984	OG0000935	-	WP_014622924.1	WP_043039002.1	WP_012677899.1
N0.HOG0000985	OG0000936	-	WP_014622925.1	WP_206159087.1	WP_154804388.1
N0.HOG0000986	OG0000937	-	WP_014622926.1	WP_206158660.1	WP_154803830.1
N0.HOG0000987	OG0000938	-	WP_014622928.1	WP_206158661.1	WP_043039005.1
N0.HOG0000988	OG0000939	-	WP_014622929.1	WP_206158662.1	WP_154803828.1
N0.HOG0000989	OG0000940	-	WP_014622931.1	WP_115250987.1	WP_154803827.1
N0.HOG0000990	OG0000941	-	WP_014622933.1	WP_206152508.1	WP_154803825.1
N0.HOG0000991	OG0000942	-	WP_014622940.1	WP_037581013.1	WP_042670718.1
N0.HOG0000992	OG0000943	-	WP_014622941.1	WP_206152505.1	WP_043053132.1
N0.HOG0000993	OG0000944	-	WP_014622944.1	WP_206152503.1	WP_154803823.1
N0.HOG0000994	OG0000945	-	WP_014622945.1	WP_196819636.1	WP_154803822.1
N0.HOG0000995	OG0000946	-	WP_014622946.1	WP_206152502.1	WP_012515704.1
N0.HOG0000996	OG0000947	-	WP_014622947.1	WP_206152501.1	WP_154803821.1
N0.HOG0000997	OG0000948	-	WP_014622949.1	WP_206152499.1	WP_021320822.1
N0.HOG0000998	OG0000949	-	WP_014622951.1	WP_206152497.1	WP_154803820.1
N0.HOG0000999	OG0000950	-	WP_014622953.1	WP_206152495.1	WP_154803818.1
N0.HOG0001000	OG0000951	-	WP_014622955.1	WP_206152494.1	WP_014622955.1
N0.HOG0001001	OG0000952	-	WP_014622962.1	WP_206158663.1	WP_043025924.1
N0.HOG0001002	OG0000953	-	WP_014622963.1	WP_014622963.1	WP_154803814.1
N0.HOG0001003	OG0000954	-	WP_014622964.1	WP_206152490.1	WP_115266858.1
N0.HOG0001004	OG0000955	-	WP_014622966.1	WP_037580953.1	WP_154803813.1
N0.HOG0001005	OG0000956	-	WP_014622967.1	WP_206158664.1	WP_042670749.1
N0.HOG0001006	OG0000957	-	WP_014622968.1	WP_115251490.1	WP_012677861.1
N0.HOG0001007	OG0000958	-	WP_014622969.1	WP_111710604.1	WP_154803812.1
N0.HOG0001008	OG0000959	-	WP_014622975.1	WP_012677853.1	WP_014622975.1
N0.HOG0001009	OG0000960	-	WP_014622976.1	WP_206152484.1	WP_014622976.1
N0.HOG0001010	OG0000961	-	WP_014622979.1	WP_164336691.1	WP_012515742.1
N0.HOG0001011	OG0000962	-	WP_014622980.1	WP_012677849.1	WP_012677849.1
N0.HOG0001012	OG0000963	-	WP_014622982.1	WP_115251017.1	WP_043030889.1
N0.HOG0001013	OG0000964	-	WP_014622985.1	WP_206158667.1	WP_154803806.1
N0.HOG0001014	OG0000965	-	WP_014622986.1	WP_012515751.1	WP_012677842.1
N0.HOG0001015	OG0000966	-	WP_014622987.1	WP_206158668.1	WP_154803805.1
N0.HOG0001016	OG0000967	-	WP_014622990.1	WP_043029806.1	WP_043029806.1
N0.HOG0001017	OG0000968	-	WP_014622994.1	WP_282707735.1	WP_012515760.1
N0.HOG0001018	OG0000969	-	WP_014622995.1	WP_206152480.1	WP_154803803.1
N0.HOG0001019	OG0000970	-	WP_014622996.1	WP_021320852.1	WP_021320852.1
N0.HOG0001020	OG0000971	-	WP_014622999.1	WP_206152479.1	WP_111710617.1
N0.HOG0001021	OG0000972	-	WP_014623000.1	WP_014623000.1	WP_154803801.1
N0.HOG0001022	OG0000973	-	WP_014623002.1	WP_206152478.1	WP_111690176.1
N0.HOG0001023	OG0000974	-	WP_014623004.1	WP_138119411.1	WP_154803800.1
N0.HOG0001024	OG0000975	-	WP_014623005.1	WP_012515772.1	WP_154803798.1
N0.HOG0001025	OG0000976	-	WP_014623006.1	WP_042670772.1	WP_012515773.1
N0.HOG0001026	OG0000977	-	WP_014623007.1	WP_138119413.1	WP_154803797.1
N0.HOG0001027	OG0000978	-	WP_014623010.1	WP_014623010.1	WP_154803795.1
N0.HOG0001028	OG0000979	-	WP_014623011.1	WP_138119415.1	WP_012515779.1
N0.HOG0001029	OG0000980	-	WP_014623016.1	WP_138119422.1	WP_138119422.1
N0.HOG0001030	OG0000981	-	WP_014623018.1	WP_196819645.1	WP_111690181.1
N0.HOG0001031	OG0000982	-	WP_014623019.1	WP_138119426.1	WP_043036979.1
N0.HOG0001032	OG0000983	-	WP_014623020.1	WP_012677809.1	WP_012677809.1
N0.HOG0001033	OG0000984	-	WP_014623021.1	WP_206158671.1	WP_111710623.1
N0.HOG0001034	OG0000985	-	WP_014623022.1	WP_206158672.1	WP_154803792.1
N0.HOG0001035	OG0000986	-	WP_014623025.1	WP_196819647.1	WP_043039066.1
N0.HOG0001036	OG0000987	-	WP_014623026.1	WP_206152474.1	WP_154803791.1
N0.HOG0001037	OG0000988	-	WP_014623027.1	WP_014623027.1	WP_014623027.1
N0.HOG0001038	OG0000989	-	WP_014623032.1	WP_196819649.1	WP_154803789.1
N0.HOG0001039	OG0000990	-	WP_014623036.1	WP_012515812.1	WP_012515812.1
N0.HOG0001040	OG0000991	-	WP_014623037.1	WP_012679714.1	WP_111692541.1
N0.HOG0001041	OG0000992	-	WP_014623038.1	WP_043052195.1	WP_154803785.1
N0.HOG0001042	OG0000993	-	WP_014623039.1	WP_138119440.1	WP_138119440.1
N0.HOG0001043	OG0000994	-	WP_014623041.1	WP_206158673.1	WP_014623041.1
N0.HOG0001044	OG0000995	-	WP_014623042.1	WP_043040746.1	WP_154803783.1
N0.HOG0001045	OG0000996	-	WP_014623043.1	WP_111692545.1	WP_154803782.1
N0.HOG0001046	OG0000997	-	WP_014623044.1	WP_196819653.1	WP_154803780.1
N0.HOG0001047	OG0000998	-	WP_014623045.1	WP_043030957.1	WP_037581982.1
N0.HOG0001048	OG0000999	-	WP_014623047.1	WP_138119448.1	WP_154803778.1
N0.HOG0001049	OG0001000	-	WP_014623049.1	WP_042670811.1	WP_043029849.1
N0.HOG0001050	OG0001001	-	WP_014623051.1	WP_012677767.1	WP_012677767.1
N0.HOG0001051	OG0001002	-	WP_014623052.1	WP_138119450.1	WP_014623052.1
N0.HOG0001052	OG0001003	-	WP_014623053.1	WP_111690217.1	WP_043026018.1
N0.HOG0001053	OG0001004	-	WP_014623055.1	WP_138119452.1	WP_043983370.1
N0.HOG0001054	OG0001005	-	WP_014623056.1	WP_012679733.1	WP_043983368.1
N0.HOG0001055	OG0001006	-	WP_014623057.1	WP_206158675.1	WP_154803777.1
N0.HOG0001056	OG0001007	-	WP_014623058.1	WP_206158676.1	WP_154803776.1
N0.HOG0001057	OG0001008	-	WP_014623059.1	WP_037581952.1	WP_154803775.1
N0.HOG0001058	OG0001009	-	WP_014623061.1	WP_206152470.1	WP_154803773.1
N0.HOG0001059	OG0001010	-	WP_014623063.1	WP_111678219.1	WP_154803771.1
N0.HOG0001060	OG0001011	-	WP_014623065.1	WP_042670830.1	WP_042670830.1
N0.HOG0001061	OG0001012	-	WP_014623066.1	WP_111710640.1	WP_043029859.1
N0.HOG0001062	OG0001013	-	WP_014623067.1	WP_206152468.1	WP_154803769.1
N0.HOG0001063	OG0001014	-	WP_014623068.1	WP_206152467.1	WP_111710642.1
N0.HOG0001064	OG0001015	-	WP_014623069.1	WP_115266806.1	WP_012677753.1
N0.HOG0001065	OG0001016	-	WP_014623070.1	WP_012679747.1	WP_154803768.1
N0.HOG0001066	OG0001017	-	WP_014623071.1	WP_206152466.1	WP_154803767.1
N0.HOG0001067	OG0001018	-	WP_014623075.1	WP_043030986.1	WP_014623075.1
N0.HOG0001068	OG0001019	-	WP_014623076.1	WP_021320918.1	WP_012677746.1
N0.HOG0001069	OG0001020	-	WP_014623077.1	WP_012515864.1	WP_012677745.1
N0.HOG0001070	OG0001021	-	WP_014623078.1	WP_111692558.1	WP_037581906.1
N0.HOG0001071	OG0001022	-	WP_014623080.1	WP_206152461.1	WP_154803761.1
N0.HOG0001072	OG0001023	-	WP_014623081.1	WP_206152460.1	WP_154803760.1
N0.HOG0001073	OG0001024	-	WP_014623082.1	WP_206152459.1	WP_154803759.1
N0.HOG0001074	OG0001025	-	WP_014623083.1	WP_206152458.1	WP_043039102.1
N0.HOG0001075	OG0001026	-	WP_014623085.1	WP_206152456.1	WP_154803757.1
N0.HOG0001076	OG0001027	-	WP_014623087.1	WP_206158680.1	WP_154803755.1
N0.HOG0001077	OG0001028	-	WP_014623088.1	WP_043039107.1	WP_154803754.1
N0.HOG0001078	OG0001029	-	WP_014623093.1	WP_206158681.1	WP_043983340.1
N0.HOG0001079	OG0001030	-	WP_014623095.1	WP_012515883.1	WP_043983339.1
N0.HOG0001080	OG0001031	-	WP_014623096.1	WP_012677730.1	WP_012677730.1
N0.HOG0001081	OG0001032	-	WP_014623104.1	WP_206158683.1	WP_154803751.1
N0.HOG0001082	OG0001033	-	WP_014623105.1	WP_043053232.1	WP_043052216.1
N0.HOG0001083	OG0001034	-	WP_014623106.1	WP_206152447.1	WP_012677722.1
N0.HOG0001084	OG0001035	-	WP_014623107.1	WP_206152446.1	WP_154803750.1
N0.HOG0001085	OG0001036	-	WP_014623109.1	WP_012515895.1	WP_012515895.1
N0.HOG0001086	OG0001037	-	WP_014623115.1	WP_012679782.1	WP_154803745.1
N0.HOG0001087	OG0001038	-	WP_014623116.1	WP_043037035.1	WP_154803744.1
N0.HOG0001088	OG0001039	-	WP_014623117.1	WP_012679785.1	WP_014623117.1
N0.HOG0001089	OG0001040	-	WP_014623118.1	WP_043037041.1	WP_154803742.1
N0.HOG0001090	OG0001041	-	WP_014623119.1	WP_043037044.1	WP_154803741.1
N0.HOG0001091	OG0001042	-	WP_014623120.1	WP_014623120.1	WP_014623120.1
N0.HOG0001092	OG0001043	-	WP_014623122.1	WP_014623122.1	WP_154803740.1
N0.HOG0001093	OG0001044	-	WP_014623129.1	WP_043039125.1	WP_154803739.1
N0.HOG0001094	OG0001045	-	WP_014623130.1	WP_043039126.1	WP_154803738.1
N0.HOG0001095	OG0001046	-	WP_014623131.1	WP_043039127.1	WP_012677699.1
N0.HOG0001096	OG0001047	-	WP_014623132.1	WP_043039128.1	WP_043040826.1
N0.HOG0001097	OG0001048	-	WP_014623133.1	WP_043039129.1	WP_154803737.1
N0.HOG0001098	OG0001049	-	WP_014623135.1	WP_206152442.1	WP_042670902.1
N0.HOG0001099	OG0001050	-	WP_014623136.1	WP_043039132.1	WP_154803735.1
N0.HOG0001100	OG0001051	-	WP_014623137.1	WP_043039133.1	WP_154803734.1
N0.HOG0001101	OG0001052	-	WP_014623138.1	WP_043039134.1	WP_043052232.1
N0.HOG0001102	OG0001053	-	WP_014623149.1	WP_043039146.1	WP_172954507.1
N0.HOG0001103	OG0001054	-	WP_014623152.1	WP_043039147.1	WP_154803725.1
N0.HOG0001104	OG0001055	-	WP_014623153.1	WP_206152440.1	WP_042670917.1
N0.HOG0001105	OG0001056	-	WP_014623154.1	WP_043039149.1	WP_154803724.1
N0.HOG0001106	OG0001057	-	WP_014623157.1	WP_043039150.1	WP_043026142.1
N0.HOG0001107	OG0001058	-	WP_014623160.1	WP_012515959.1	WP_111692601.1
N0.HOG0001108	OG0001059	-	WP_014623161.1	WP_206152439.1	WP_154803723.1
N0.HOG0001109	OG0001060	-	WP_014623163.1	WP_043039154.1	WP_154803721.1
N0.HOG0001110	OG0001061	-	WP_014623164.1	WP_043039155.1	WP_154803720.1
N0.HOG0001111	OG0001062	-	WP_014623165.1	WP_206158686.1	WP_154803719.1
N0.HOG0001112	OG0001063	-	WP_014623168.1	WP_021320980.1	WP_021320980.1
N0.HOG0001113	OG0001064	-	WP_014623169.1	WP_042357070.1	WP_043052244.1
N0.HOG0001114	OG0001065	-	WP_014623173.1	WP_206158688.1	WP_154803717.1
N0.HOG0001115	OG0001066	-	WP_014623174.1	WP_043039162.1	WP_012677652.1
N0.HOG0001116	OG0001067	-	WP_014623181.1	WP_043039169.1	WP_154803664.1
N0.HOG0001117	OG0001068	-	WP_014623187.1	WP_021320992.1	WP_043052256.1
N0.HOG0001118	OG0001069	-	WP_014623188.1	WP_014623188.1	WP_012677636.1
N0.HOG0001119	OG0001070	-	WP_014623189.1	WP_111678244.1	WP_012677634.1
N0.HOG0001120	OG0001071	-	WP_014623190.1	WP_043039172.1	WP_043040863.1
N0.HOG0001121	OG0001072	-	WP_014623191.1	WP_206158690.1	WP_154803662.1
N0.HOG0001122	OG0001073	-	WP_014623192.1	WP_206158691.1	WP_154803661.1
N0.HOG0001123	OG0001074	-	WP_014623194.1	WP_138119573.1	WP_154803660.1
N0.HOG0001124	OG0001075	-	WP_014623195.1	WP_043031155.1	WP_154803659.1
N0.HOG0001125	OG0001076	-	WP_014623196.1	WP_037581595.1	WP_037581595.1
N0.HOG0001126	OG0001077	-	WP_014623197.1	WP_043984171.1	WP_111692634.1
N0.HOG0001127	OG0001078	-	WP_014623201.1	WP_206158693.1	WP_269471217.1
N0.HOG0001128	OG0001079	-	WP_014623203.1	WP_111690292.1	WP_012677616.1
N0.HOG0001129	OG0001080	-	WP_014623204.1	WP_043052263.1	WP_043052263.1
N0.HOG0001130	OG0001081	-	WP_014623205.1	WP_126436925.1	WP_154803657.1
N0.HOG0001131	OG0001082	-	WP_014623212.1	WP_014623212.1	WP_154803655.1
N0.HOG0001132	OG0001083	-	WP_014623215.1	WP_206158696.1	WP_154803653.1
N0.HOG0001133	OG0001084	-	WP_014623221.1	WP_043031187.1	WP_154803651.1
N0.HOG0001134	OG0001085	-	WP_014623224.1	WP_206158699.1	WP_154803649.1
N0.HOG0001135	OG0001086	-	WP_014623225.1	WP_111710707.1	WP_154803648.1
N0.HOG0001136	OG0001087	-	WP_014623226.1	WP_021321011.1	WP_154803647.1
N0.HOG0001137	OG0001088	-	WP_014623227.1	WP_012677594.1	WP_021321012.1
N0.HOG0001138	OG0001089	-	WP_014623228.1	WP_111710708.1	WP_012679874.1
N0.HOG0001139	OG0001090	-	WP_014623229.1	WP_043040893.1	WP_021321013.1
N0.HOG0001140	OG0001091	-	WP_014623234.1	WP_024273149.1	WP_024273149.1
N0.HOG0001141	OG0001092	-	WP_038673964.1, WP_014623243.1		WP_043039291.1
N0.HOG0001142	OG0001093	-	WP_014623251.1	WP_111678606.1	WP_024379177.1
N0.HOG0001143	OG0001094	-	WP_014623257.1, WP_014623491.1		WP_154803565.1
N0.HOG0001144	OG0001095	-	WP_014623276.1	WP_206158700.1	WP_154803644.1
N0.HOG0001145	OG0001096	-	WP_014623277.1	WP_012516031.1	WP_154803643.1
N0.HOG0001146	OG0001097	-	WP_014623278.1	WP_206158701.1	WP_154803641.1
N0.HOG0001147	OG0001098	-	WP_014623281.1	WP_138119611.1	WP_154803638.1
N0.HOG0001148	OG0001099	-	WP_014623282.1	WP_138119613.1	WP_154803637.1
N0.HOG0001149	OG0001100	-	WP_014623283.1	WP_012677569.1	WP_012516043.1
N0.HOG0001150	OG0001101	-	WP_014623284.1	WP_012677568.1	WP_037579146.1
N0.HOG0001151	OG0001102	-	WP_014623285.1	WP_138119615.1	WP_021321023.1
N0.HOG0001152	OG0001103	-	WP_014623286.1	WP_043026324.1	WP_021321024.1
N0.HOG0001153	OG0001104	-	WP_014623289.1	WP_043026328.1	WP_154803635.1
N0.HOG0001154	OG0001105	-	WP_014623290.1	WP_206158702.1	WP_172954503.1
N0.HOG0001155	OG0001106	-	WP_014623293.1	WP_012677559.1	WP_012677559.1
N0.HOG0001156	OG0001107	-	WP_014623294.1	WP_206158704.1	WP_154803633.1
N0.HOG0001157	OG0001108	-	WP_014623295.1	WP_138120023.1	WP_154804375.1
N0.HOG0001158	OG0001109	-	WP_014623296.1	WP_206158706.1	WP_021321029.1
N0.HOG0001159	OG0001110	-	WP_014623297.1	WP_138119628.1	WP_043026339.1
N0.HOG0001160	OG0001111	-	WP_014623298.1	WP_138119631.1	WP_043026340.1
N0.HOG0001161	OG0001112	-	WP_014623299.1	WP_012679907.1	WP_014623299.1
N0.HOG0001162	OG0001113	-	WP_014623302.1	WP_014623302.1	WP_043040958.1
N0.HOG0001163	OG0001114	-	WP_014623303.1	WP_138119634.1	WP_043040959.1
N0.HOG0001164	OG0001115	-	WP_014623304.1	WP_012516072.1	WP_043040962.1
N0.HOG0001165	OG0001116	-	WP_014623305.1	WP_138119635.1	WP_115266708.1
N0.HOG0001166	OG0001117	-	WP_014623308.1	WP_138119636.1	WP_154803631.1
N0.HOG0001167	OG0001118	-	WP_014623312.1	WP_021321036.1	WP_154231414.1
N0.HOG0001168	OG0001119	-	WP_014623314.1	WP_138119642.1	WP_154803630.1
N0.HOG0001169	OG0001120	-	WP_014623315.1	WP_206158707.1	WP_154803629.1
N0.HOG0001170	OG0001121	-	WP_014623316.1	WP_206158708.1	WP_043052295.1
N0.HOG0001171	OG0001122	-	WP_014623317.1	WP_206158709.1	WP_154803628.1
N0.HOG0001172	OG0001123	-	WP_014623319.1	WP_111710727.1	WP_154803627.1
N0.HOG0001173	OG0001124	-	WP_014623320.1	WP_165619207.1	WP_154803626.1
N0.HOG0001174	OG0001125	-	WP_014623322.1	WP_206158712.1	WP_154803624.1
N0.HOG0001175	OG0001126	-	WP_014623325.1	WP_206158714.1	WP_154803622.1
N0.HOG0001176	OG0001127	-	WP_014623326.1	WP_037579350.1	WP_154803621.1
N0.HOG0001177	OG0001128	-	WP_014623333.1	WP_249093179.1	WP_232013920.1
N0.HOG0001178	OG0001129	-	WP_014623336.1	WP_111678854.1	WP_043030073.1
N0.HOG0001179	OG0001130	-	WP_014623337.1	WP_111678341.1	WP_154803616.1
N0.HOG0001180	OG0001131	-	WP_014623338.1	WP_111678339.1	WP_043040989.1
N0.HOG0001181	OG0001132	-	WP_014623342.1	WP_012516117.1	WP_154803612.1
N0.HOG0001182	OG0001133	-	WP_014623345.1	WP_111678349.1	WP_111690344.1
N0.HOG0001183	OG0001134	-	WP_014623348.1	WP_111678363.1	WP_154803610.1
N0.HOG0001184	OG0001135	-	WP_014623350.1	WP_012679953.1	WP_012677503.1
N0.HOG0001185	OG0001136	-	WP_014623352.1	WP_111678371.1	WP_154803607.1
N0.HOG0001186	OG0001137	-	WP_014623353.1	WP_111678373.1	WP_012677500.1
N0.HOG0001187	OG0001138	-	WP_014623354.1	WP_111678375.1	WP_012677499.1
N0.HOG0001188	OG0001139	-	WP_014623356.1	WP_012516140.1	WP_012516140.1
N0.HOG0001189	OG0001140	-	WP_014623361.1	WP_111678389.1	WP_154803604.1
N0.HOG0001190	OG0001141	-	WP_014623365.1	WP_206158719.1	WP_154803603.1
N0.HOG0001191	OG0001142	-	WP_014623369.1	WP_111678403.1	WP_154803601.1
N0.HOG0001192	OG0001143	-	WP_014623371.1	WP_111678411.1	WP_012677479.1
N0.HOG0001193	OG0001144	-	WP_014623372.1	WP_111678413.1	WP_012516168.1
N0.HOG0001194	OG0001145	-	WP_014623373.1	WP_111678417.1	WP_154803600.1
N0.HOG0001195	OG0001146	-	WP_014623374.1	WP_111678858.1	WP_111690363.1
N0.HOG0001196	OG0001147	-	WP_014623375.1	WP_206158723.1	WP_021321078.1
N0.HOG0001197	OG0001148	-	WP_014623376.1	WP_111678423.1	WP_111690364.1
N0.HOG0001198	OG0001149	-	WP_014623377.1	WP_111678425.1	WP_043026448.1
N0.HOG0001199	OG0001150	-	WP_014623378.1	WP_111678427.1	WP_154803598.1
N0.HOG0001200	OG0001151	-	WP_014623380.1	WP_043053371.1	WP_042671203.1
N0.HOG0001201	OG0001152	-	WP_014623383.1	WP_111678434.1	WP_154803594.1
N0.HOG0001202	OG0001153	-	WP_014623384.1	WP_111678436.1	WP_014623384.1
N0.HOG0001203	OG0001154	-	WP_014623386.1	WP_111678441.1	WP_043030096.1
N0.HOG0001204	OG0001155	-	WP_014623388.1	WP_012677466.1	WP_154803592.1
N0.HOG0001205	OG0001156	-	WP_014623389.1	WP_111678443.1	WP_154803591.1
N0.HOG0001206	OG0001157	-	WP_014623391.1	WP_111678447.1	WP_154803589.1
N0.HOG0001207	OG0001158	-	WP_014623394.1	WP_111678453.1	WP_021321087.1
